X,Y,gid,Name,description,X_ADDR,SHAPE_Length,FMEL_UPD_D,Region Name,Planning Area Name,Region Code,Subzone Name,Central Area Indicator,SHAPE,Y_ADDR,Subzone Code,INC_CRC,Subzone Number,SHAPE_Area,Planning Area Code,Field_1
103.7282235,1.31924201,104,JURONG RIVER,,16367.556,6612.903231,12/5/14 21:26,WEST REGION,JURONG EAST,WR,JURONG RIVER,N,Polygon,33519.9926,JESZ07,4B0C61FF99008ACC,7,2560995.937,JE,JURONG RIVER
103.8574736,1.30396199,99,ROCHOR CANAL,,30693.783,1686.009453,12/5/14 21:26,CENTRAL REGION,ROCHOR,CR,ROCHOR CANAL,Y,Polygon,31819.1316,RCSZ04,6DFA7E9068F7B4CE,4,120171.3212,RC,ROCHOR CANAL
103.8053515,1.299410447,101,MARGARET DRIVE,,25202.7614,5969.645039,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,MARGARET DRIVE,N,Polygon,31065.9731,QTSZ05,F7ADADFB700DFB84,5,1026467.393,QT,MARGARET DRIVE
103.9062456,1.302413858,103,MARINE PARADE,,36263.9827,6019.279096,12/5/14 21:26,CENTRAL REGION,MARINE PARADE,CR,MARINE PARADE,N,Polygon,31684.2656,MPSZ03,44613908A004F20C,3,1160017.478,MP,MARINE PARADE
103.8341269,1.32349565,107,MALCOLM,,28070.2584,5346.80972,12/5/14 21:26,CENTRAL REGION,NOVENA,CR,MALCOLM,N,Polygon,33930.2568,NVSZ03,554AD3E3224BB5DD,3,1321089.881,NV,MALCOLM
103.8758941,1.325797533,113,KALLANG WAY,,32761.4923,4055.202723,12/5/14 21:26,CENTRAL REGION,GEYLANG,CR,KALLANG WAY,N,Polygon,34229.7192,GLSZ01,C96E4D530743AF4C,1,963198.8794,GL,KALLANG WAY
103.8503956,1.324453889,110,BALESTIER,,29975.2639,6804.341011,12/5/14 21:26,CENTRAL REGION,NOVENA,CR,BALESTIER,N,Polygon,34194.0676,NVSZ01,779D071A741FD0DE,1,1926622.002,NV,BALESTIER
103.6437549,1.318114034,111,TUAS BAY,,6921.1588,10583.71113,12/5/14 21:26,WEST REGION,TUAS,WR,TUAS BAY,N,Polygon,33401.4189,TSSZ04,B16AC41469AD9EB5,4,3203306.037,TS,TUAS BAY
103.7477535,1.326868133,114,INTERNATIONAL BUSINESS PARK,,18514.5995,3024.275837,12/5/14 21:26,WEST REGION,JURONG EAST,WR,INTERNATIONAL BUSINESS PARK,N,Polygon,34285.7972,JESZ06,98C98587CD02475A,6,485022.3064,JE,INTERNATIONAL BUSINESS PARK
103.7079901,1.326653489,115,TUKANG,,14192.4654,6899.999456,12/5/14 21:26,WEST REGION,BOON LAY,WR,TUKANG,N,Polygon,34209.5506,BLSZ01,6CCF8637EBA7EA5E,1,1881305.829,BL,TUKANG
103.9163711,1.325029829,117,KEMBANGAN,,37158.7015,6785.111707,12/5/14 21:26,EAST REGION,BEDOK,ER,KEMBANGAN,N,Polygon,34115.9683,BDSZ03,528DB1419283465B,3,2387277.532,BD,KEMBANGAN
103.7948905,1.308318137,119,HOLLAND DRIVE,,23711.437,3420.329337,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,HOLLAND DRIVE,N,Polygon,32294.7721,QTSZ02,A29DC7655F65E7B3,2,459546.2858,QT,HOLLAND DRIVE
103.8520896,1.309172393,120,FARRER PARK,,30093.4152,2540.960363,12/5/14 21:26,CENTRAL REGION,ROCHOR,CR,FARRER PARK,Y,Polygon,32386.2107,RCSZ01,710C13F4E3EDBBE6,1,247887.633,RC,FARRER PARK
103.7500486,1.348194466,175,BUKIT BATOK CENTRAL,,18773.5578,3782.826959,12/5/14 21:26,WEST REGION,BUKIT BATOK,WR,BUKIT BATOK CENTRAL,N,Polygon,36680.0524,BKSZ07,4CE31051AB87CA5E,7,800298.5645,BK,BUKIT BATOK CENTRAL
103.7028897,1.307414567,123,SAMULUN,,13418.4922,8738.679385,12/5/14 21:26,WEST REGION,BOON LAY,WR,SAMULUN,N,Polygon,32264.5933,BLSZ03,F78E0287D3F24214,3,1940693.424,BL,SAMULUN
103.8586644,1.311389129,126,LAVENDER,,30874.4064,3609.150463,12/5/14 21:26,CENTRAL REGION,KALLANG,CR,LAVENDER,N,Polygon,32569.5264,KLSZ06,A7A07F328A38B6EF,6,757907.6111,KL,LAVENDER
103.8494239,1.313062582,131,KAMPONG JAVA,,29891.5311,4344.612171,12/5/14 21:26,CENTRAL REGION,KALLANG,CR,KAMPONG JAVA,N,Polygon,32888.5297,KLSZ07,B548D80BC47261CB,7,1022292.301,KL,KAMPONG JAVA
103.7879412,1.311733731,125,GHIM MOH,,22899.1897,3223.645504,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,GHIM MOH,N,Polygon,32579.9353,QTSZ01,00F5E30B5C9B7AD8,1,485046.9227,QT,GHIM MOH
103.7550997,1.308113151,128,PANDAN,,19228.6033,5689.646944,12/5/14 21:26,WEST REGION,CLEMENTI,WR,PANDAN,N,Polygon,32265.401,CLSZ09,A6EE4A49376B69C4,9,1312922.681,CL,PANDAN
103.7768487,1.312276401,129,SINGAPORE POLYTECHNIC,,21751.751,4666.970068,12/5/14 21:26,CENTRAL REGION,QUEENSTOWN,CR,SINGAPORE POLYTECHNIC,N,Polygon,32627.8947,QTSZ09,8E9608C7B3B27AD7,9,946651.4186,QT,SINGAPORE POLYTECHNIC
103.7629719,1.312712185,130,CLEMENTI CENTRAL,,20183.4496,3630.189223,12/5/14 21:26,WEST REGION,CLEMENTI,WR,CLEMENTI CENTRAL,N,Polygon,32707.5394,CLSZ06,B2C4E087B443854E,6,748043.2767,CL,CLEMENTI CENTRAL
103.8650162,1.314541617,133,KALLANG BAHRU,,31579.2889,3710.904602,12/5/14 21:26,CENTRAL REGION,KALLANG,CR,KALLANG BAHRU,N,Polygon,32929.5276,KLSZ08,F605DD67E5154CFB,8,839488.9772,KL,KALLANG BAHRU
103.7431047,1.332645772,135,JURONG GATEWAY,,17912.9778,3096.98411,12/5/14 21:26,WEST REGION,JURONG EAST,WR,JURONG GATEWAY,N,Polygon,35033.9061,JESZ05,857DAA77ED3346BF,5,554623.6757,JE,JURONG GATEWAY
103.8967102,1.330369776,137,KAMPONG UBI,,35039.5495,5573.532918,12/5/14 21:26,CENTRAL REGION,GEYLANG,CR,KAMPONG UBI,N,Polygon,34647.2633,GLSZ03,12CC0A25547E67F9,3,1878092.478,GL,KAMPONG UBI
103.8741381,1.33367448,138,SENNETT,,32485.4898,3836.105793,12/5/14 21:26,CENTRAL REGION,TOA PAYOH,CR,SENNETT,N,Polygon,35050.1965,TPSZ11,323E7ABC6E27B92B,11,867750.4373,TP,SENNETT
103.8659857,1.33337515,139,POTONG PASIR,,31596.799,3496.881664,12/5/14 21:26,CENTRAL REGION,TOA PAYOH,CR,POTONG PASIR,N,Polygon,35028.1043,TPSZ09,C54D6A4E4D1A775C,9,639143.5594,TP,POTONG PASIR
103.8584179,1.336975802,141,PEI CHUN,,30814.3282,2901.789416,12/5/14 21:26,CENTRAL REGION,TOA PAYOH,CR,PEI CHUN,N,Polygon,35440.9703,TPSZ06,E896DA37D43AE86B,6,411403.9371,TP,PEI CHUN
103.8533942,1.335519762,142,BOON TECK,,30193.1349,2626.136593,12/5/14 21:26,CENTRAL REGION,TOA PAYOH,CR,BOON TECK,N,Polygon,35272.7474,TPSZ04,3FBAA35FE787D703,4,418657.3583,TP,BOON TECK
103.8705784,1.353153719,180,SERANGOON CENTRAL,,32157.3746,4784.623169,12/5/14 21:26,NORTH-EAST REGION,SERANGOON,NER,SERANGOON CENTRAL,N,Polygon,37148.607,SGSZ06,3E0A343DED145DD2,6,1061889.353,SG,SERANGOON CENTRAL
103.8662566,1.339576624,145,WOODLEIGH,,31670.4785,3778.890574,12/5/14 21:26,CENTRAL REGION,TOA PAYOH,CR,WOODLEIGH,N,Polygon,35799.9019,TPSZ08,FA35D874BD766895,8,813382.9814,TP,WOODLEIGH
103.7309761,1.334043844,147,LAKESIDE,,16697.0118,8828.63383,12/5/14 21:26,WEST REGION,JURONG EAST,WR,LAKESIDE,N,Polygon,35114.9062,JESZ04,3BBFD45071B70ECF,4,3108023.274,JE,LAKESIDE
103.7381771,1.339500188,150,YUHUA EAST,,17485.1754,4018.421017,12/5/14 21:26,WEST REGION,JURONG EAST,WR,YUHUA EAST,N,Polygon,35841.78,JESZ02,703D4A0324A15A14,2,924762.4774,JE,YUHUA EAST
103.7136675,1.335410298,158,CHIN BEE,,14631.8059,4899.033957,12/5/14 21:26,WEST REGION,JURONG WEST,WR,CHIN BEE,N,Polygon,35240.9703,JWSZ05,E40040F5493ECE07,5,1287949.825,JW,CHIN BEE
103.702478,1.340914943,152,JURONG WEST CENTRAL,,13396.6261,4649.79715,12/5/14 21:26,WEST REGION,JURONG WEST,WR,JURONG WEST CENTRAL,N,Polygon,35811.7261,JWSZ09,1D90F8ED7A36C82C,9,1404536.643,JW,JURONG WEST CENTRAL
