X,Y,Name,Region Name,Planning Area Name,Region Code,Central Area Indicator,Subzone Code,Planning Area Code
103.7766505,1.296870576,NATIONAL UNIVERSITY OF S'PORE,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ11,QT
103.7966478,1.302026685,TANGLIN HALT,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ04,QT
103.8470161,1.284345078,CHINA SQUARE,CENTRAL REGION,OUTRAM,CR,Y,OTSZ04,OT
103.8567536,1.299232337,BUGIS,CENTRAL REGION,DOWNTOWN CORE,CR,Y,DTSZ01,DT
103.8483984,1.306208985,MACKENZIE,CENTRAL REGION,ROCHOR,CR,Y,RCSZ06,RC
103.831495,1.301561989,PATERSON,CENTRAL REGION,RIVER VALLEY,CR,Y,RVSZ02,RV
103.8462176,1.276247139,TANJONG PAGAR,CENTRAL REGION,DOWNTOWN CORE,CR,Y,DTSZ09,DT
103.8769013,1.301266467,TANJONG RHU,CENTRAL REGION,KALLANG,CR,N,KLSZ05,KL
103.7550097,1.316297592,WEST COAST,WEST REGION,CLEMENTI,WR,N,CLSZ05,CL
103.7998216,1.304271771,COMMONWEALTH,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ03,QT
103.8127354,1.303755811,RIDOUT,CENTRAL REGION,TANGLIN,CR,N,TNSZ03,TN
103.763865,1.301950069,CLEMENTI WEST,WEST REGION,CLEMENTI,WR,N,CLSZ08,CL
103.6135452,1.257945682,TUAS VIEW EXTENSION,WEST REGION,TUAS,WR,N,TSSZ06,TS
103.8547529,1.285070732,CLIFFORD PIER,CENTRAL REGION,DOWNTOWN CORE,CR,Y,DTSZ06,DT
103.7681787,1.302300912,CLEMENTI WOODS,WEST REGION,CLEMENTI,WR,N,CLSZ07,CL
103.7350622,1.304675212,PENJURU CRESCENT,WEST REGION,JURONG EAST,WR,N,JESZ10,JE
103.8303184,1.310110806,ORANGE GROVE,CENTRAL REGION,NEWTON,CR,Y,NTSZ01,NT
103.8541545,1.306833188,LITTLE INDIA,CENTRAL REGION,ROCHOR,CR,Y,RCSZ02,RC
103.6774446,1.302127881,GUL BASIN,WEST REGION,PIONEER,WR,N,PNSZ04,PN
103.6333076,1.304967495,TUAS VIEW,WEST REGION,TUAS,WR,N,TSSZ05,TS
103.6875131,1.31721498,BENOI SECTOR,WEST REGION,PIONEER,WR,N,PNSZ03,PN
103.6676046,1.315116617,GUL CIRCLE,WEST REGION,PIONEER,WR,N,PNSZ02,PN
103.859581,1.30236699,KAMPONG GLAM,CENTRAL REGION,ROCHOR,CR,Y,RCSZ05,RC
103.8496419,1.302362734,SELEGIE,CENTRAL REGION,ROCHOR,CR,Y,RCSZ08,RC
103.7282235,1.31924201,JURONG RIVER,WEST REGION,JURONG EAST,WR,N,JESZ07,JE
103.8574736,1.30396199,ROCHOR CANAL,CENTRAL REGION,ROCHOR,CR,Y,RCSZ04,RC
103.8053515,1.299410447,MARGARET DRIVE,CENTRAL REGION,QUEENSTOWN,CR,N,QTSZ05,QT
103.9062456,1.302413858,MARINE PARADE,CENTRAL REGION,MARINE PARADE,CR,N,MPSZ03,MP
103.8341269,1.32349565,MALCOLM,CENTRAL REGION,NOVENA,CR,N,NVSZ03,NV
103.8758941,1.325797533,KALLANG WAY,CENTRAL REGION,GEYLANG,CR,N,GLSZ01,GL
103.8503956,1.324453889,BALESTIER,CENTRAL REGION,NOVENA,CR,N,NVSZ01,NV
103.6437549,1.318114034,TUAS BAY,WEST REGION,TUAS,WR,N,TSSZ04,TS
103.7477535,1.326868133,INTERNATIONAL BUSINESS PARK,WEST REGION,JURONG EAST,WR,N,JESZ06,JE
